status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,6.92,Waki,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,"Romance, School, Harem, Seinen",0,0,11451,0,0,0,0,0,1,0,10042,Stellar☆Theater,https://myanimelist.net/manga/21004/Stellar☆Theater,0,0,0," Aliens exist for sure. Even a child knows it. The world is protected by a group of aliens with special power. Daichi lives in such a world. He terribly got burned five years ago, but it's all cured and he now lives a peaceful life. But one day, he meets one of the aliens and his life slightly changes...  He is forcibly appointed as to be an examiner of the next protector test. There are also three girls who move to his school to take the test and one of them is his childhood friend. He still doesn't know that there will be a big event, which will change his future, in the not too distant future...  (Source: ErogeShop)",2,0,0,0,0
Finished,0,0,7.66,honeybee,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,"Romance, School, Harem",0,0,16000,0,0,0,0,0,0,0,2389,Starry☆Sky: In Winter - Comic Anthology,https://myanimelist.net/manga/19436/Starry☆Sky__In_Winter_-_Comic_Anthology,0,0,0, Collection of shorts stories featuring characters from the otome game .,1,0,0,0,0
Finished,0,0,7.95,"Shouoto,Aya|honeybee|Kuriyama,Renji",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Romance, School, Harem",0,0,16763,0,0,0,0,0,0,0,17636,Starry☆Sky: In Summer - 4-koma Anthology,https://myanimelist.net/manga/21439/Starry☆Sky__In_Summer_-_4-koma_Anthology,0,0,0, 4-koma anthology featuring the characters from the otome game .,1,0,0,0,0
Finished,0,0,7.37,honeybee,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,"Romance, School, Harem",0,0,18010,0,0,0,0,0,0,0,4874,Starry☆Sky: In Summer - Anthology,https://myanimelist.net/manga/21520/Starry☆Sky__In_Summer_-_Anthology,0,0,0, Collection of short stories featuring characters from the otome game .,1,0,0,0,0
Finished,0,0,7.26,honeybee,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,"Romance, School, Harem",0,0,18083,0,0,0,0,0,0,0,6261,Starry☆Sky: In Spring - Anthology,https://myanimelist.net/manga/21519/Starry☆Sky__In_Spring_-_Anthology,0,0,0, Collection of short stories featuring characters from the otome game .,1,0,0,0,0
Finished,0,0,7.56,"honeybee|Kosumi,Fujiko|Arii,Memeco|Emiri|Mutsuki,Ran",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,"Romance, School, Harem",0,0,12367,0,0,0,0,0,0,0,3079,Starry☆Sky: In Summer - Comic Anthology,https://myanimelist.net/manga/17532/Starry☆Sky__In_Summer_-_Comic_Anthology,0,0,0, Comic anthology featuring the characters from the otome game .,1,0,0,0,0
Finished,0,0,7.37,"Shouoto,Aya|honeybee",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Romance, School, Harem",0,0,17968,0,0,0,0,0,0,0,17653,Starry☆Sky: In Winter - 4-koma Anthology,https://myanimelist.net/manga/21508/Starry☆Sky__In_Winter_-_4-koma_Anthology,0,0,0, 4-koma anthology featuring the characters from the otome game .,1,0,0,0,0
Finished,0,0,8.00,"Shouoto,Aya|honeybee",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Romance, School, Harem",0,0,16930,0,0,0,0,0,0,0,17635,Starry☆Sky: In Spring - 4-koma Anthology,https://myanimelist.net/manga/21438/Starry☆Sky__In_Spring_-_4-koma_Anthology,0,0,0, 4-koma anthology featuring the characters from the otome game .,1,0,0,0,0
Finished,0,0,7.81,"Shouoto,Aya|honeybee",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Romance, School, Harem",0,0,17517,0,0,0,0,0,0,0,17637,Starry☆Sky: In Autumn - 4-koma Anthology,https://myanimelist.net/manga/21440/Starry☆Sky__In_Autumn_-_4-koma_Anthology,0,0,0, 4-koma anthology featuring the characters from the otome game .,1,0,0,0,0
Finished,0,0,7.51,"honeybee|Chidori,Peko",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,"Romance, School, Harem",0,0,11830,0,0,0,0,0,0,0,3527,Starry☆Sky: Comic Anthology - After Season,https://myanimelist.net/manga/21029/Starry☆Sky__Comic_Anthology_-_After_Season,0,0,0, Manga featuring characters from the otome game .,2,0,0,0,0
