status,title,mal_score,mal_ranking,num_chap,mal_popularity,num_vol,authors,mal_url
Finished,"Senpai Oppai Kako ni Modori Pai: Ano Hi, Ano Toki, Sex Shiteokeba Yokatta",7.50,N/A,Unknown,31934,1,"Kurotaki,Shiyu|Mochizuki,Nozomu|OLE-M",https://myanimelist.net/manga/73077/Senpai_Oppai_Kako_ni_Modori_Pai__Ano_Hi_Ano_Toki_Sex_Shiteokeba_Yokatta
Finished,Kindan no Byoutou: Tokushu Seishinkai Yusa Sousuke no Shinsatsu Kiroku,N/A,N/A,Unknown,31926,1,"Atelier Kaguya|M-and-M|Mido,Gai",https://myanimelist.net/manga/69123/Kindan_no_Byoutou__Tokushu_Seishinkai_Yusa_Sousuke_no_Shinsatsu_Kiroku
Finished,Isekai Shoukan de Oppai Senki: Madou no Oujo mo Onna Senshi mo Elf Miko mo Gantai no Kishi mo!,9.00,N/A,6,31952,1,"Yasaka,Minato|Tatsumi,Hirohiko",https://myanimelist.net/manga/81761/Isekai_Shoukan_de_Oppai_Senki__Madou_no_Oujo_mo_Onna_Senshi_mo_Elf_Miko_mo_Gantai_no_Kishi_mo
Publishing,Sekai Saikyou wa Kazoku to Nakayoku Dekasegichuu!,10.00,25871,Unknown,32002,Unknown,"Sorano,Kazuki|Kazutake,Hazano",https://myanimelist.net/manga/94517/Sekai_Saikyou_wa_Kazoku_to_Nakayoku_Dekasegichuu
Publishing,Saikyou Majutsushi no Ijou naru Toubou Seikatsu,10.00,28312,Unknown,32021,Unknown,"Johndee|Pink-iro,Hakushaku",https://myanimelist.net/manga/104060/Saikyou_Majutsushi_no_Ijou_naru_Toubou_Seikatsu
Finished,Isekai Shoukan de Ohimesama wo Harem!,5.00,N/A,9,31948,1,"Aiuchi,Nano|Kayu",https://myanimelist.net/manga/79363/Isekai_Shoukan_de_Ohimesama_wo_Harem
Finished,Kimomen Teihen Shoku demo Kyokon nara Harem Guild no Omo ni Nareru!?,8.00,N/A,4,31713,1,"Ebinuma,Minami|Ishii,Akira|Miel",https://myanimelist.net/manga/86619/Kimomen_Teihen_Shoku_demo_Kyokon_nara_Harem_Guild_no_Omo_ni_Nareru
Finished,Gakuen NTR: Boku no Shiranai Kanojo no Kao,6.00,N/A,Unknown,31929,1,"Harukaze,Shiori|Kaen,Miso|Atelier G/H",https://myanimelist.net/manga/69839/Gakuen_NTR__Boku_no_Shiranai_Kanojo_no_Kao
Finished,Tensei Majutsushi ga Unei suru Tower Dungeon,7.00,N/A,72,31759,2,"TAKTO|Christaller,Sakurai",https://myanimelist.net/manga/96433/Tensei_Majutsushi_ga_Unei_suru_Tower_Dungeon
Finished,Boku no Kanojo wa Wakazuma Joshikousei: Tokimeki Shinkon Harem,6.67,N/A,6,31922,1,"Hayase,Mahito|Shoumaru",https://myanimelist.net/manga/67507/Boku_no_Kanojo_wa_Wakazuma_Joshikousei__Tokimeki_Shinkon_Harem
